"codigo","descripcion","um"
"LA010673TR","MECHA ROUTER ESCALONADA 1-1/8""","UN"
"LA010940TR","SELLADOR P/LLANTAS""TR""450ML","UN"
"LA013436TR","LLAVE TUBO 1/2""PUNTA TORX""TR""T-30","UN"
"LA013437TR","LLAVE TUBO 1/2""PUNTA TORX""TR""T-40","UN"
"LA013438TR","LLAVE TUBO 1/2""PUNTA TORX""TR""T-45","UN"
"LA013439TR","LLAVE TUBO 1/2""PUNTA TORX""TR""T-50","UN"
"LA013440TR","LLAVE TUBO 1/2""PUNTA TORX""TR""T-55","UN"
"LA013461TR","CARBON P/LIBA-3X21A2","PAR"
"LA013469TR","ACEITE AFLOJA TODO ""TR"" 235ML","UN"
"LA013511TR","CINTA AISLAD.""TR""VERDE 9M","UN"
"LA013512TR","CINTA AISLAD.""TR""AMARILLO 9M","UN"
"LA013513TR","CINTA AISLAD.""TR""ROJO 9M","UN"
"LA013514TR","CINTA AISLAD.""TR""AZUL 9M","UN"
"LA530.010","LLAVE PARA CANO FAMASTIL 10","UN"
"LA530.014","LLAVE PARA CANO FAMASTIL 14","UN"
"LA530.018","LLAVE PARA CANO FAMASTIL 18","UN"
"LA010942TR","BALIZA P/AUTO TRUPER 43,5cm","UN"
"LA010943TR","BALIZA P/AUTO TRUPER 29cm","UN"
"LA010953TR","FAJA LUMBAR C/TIRANTES""TR""-S-","UN"
"LA010954TR","FAJA LUMBAR C/TIRANTES""TR""-XL-","UN"
"LA011","P.AEROSOL OPTIMA GRIS NAVAL 400ML","UN"
"LA01100003","VALV. EXCLUSA(110)ITALY 1/2""","UN"
"LA01100004","VALV. EXCLUSA(110)ITALY 3/4""","UN"
"LA01100005","VALV. EXCLUSA(110)ITALY 1""","UN"
"LA01100006","VALV. EXCLUSA(110)ITALY 1-1/4""","UN"
"LA01100007","VALV. EXCLUSA(110)ITALY 1-1/2""","UN"
"LA01100008","VALV. EXCLUSA(110)ITALY 2""","UN"
"LA01100009","VALV. EXCLUSA(110)ITALY 2-1/2""","UN"
"LA536.003","CINTA METRICA 5MX19MM.FAMASTIL","UN"
"LA537.006","CINTA MET.AGRIMENSOR 50M.FAMAS","UN"
"LAEZC24D50D/R05","PISTON EZC24D-50D","UN"
"LA011202411","MARCADOR IND.""CG""BLANCO 60ml","UN"
"LA011298TR","IRRIGADOR GIRAT.BASE PLAST.TRUPER","UN"
"LA01135-2","PORTACANDADO 51mm=2"" ZINCADO","UN"
"LA01137-6","PORTACANDADO 63mm=2,5"" ZINCADO","UN"
"LA01138-3","PORTACANDADO 89mm=3,5"" ZINCADO","UN"
"LA01139-0","PORTACANDADO 114mm=4,5""ZINCADO","UN"
"LA01140-6","TRABA-PUERTA 86151/1 NI PARED","UN"
"LA01142-0","TRABA-PUERTA 86151/3 NI P/PISO","UN"
"LA011453TR","MECHA ROUTER""TR""RECTA 2F 1/4""","UN"
"LA011454TR","MECHA ROUTER""TR""RECTA 2F 5/16""","UN"
"LA011455TR","MECHA ROUTER""TR""RECTA 2F 3/8""","UN"
"LA011456TR","MECHA ROUTER""TR""RECTA 2F 1/2""","UN"
"LA924555TR","RUEDA P/COMP.25(22686)","UN"
"LA924557TR","CABLE P/COMP.25(22686)","UN"
"LA931326TR","BOTON P/AMOLADORA(22360)","UN"
"LA011457TR","MECHA ROUTER""TR""RECTA 2F 5/8""","UN"
"LA012871TR","JGO.VIROLERA+CORTA TUBO TRUPER","JGO"
"LA012888TR","PLUMA HIDRAULICA 2TON.TRUPER","UN"
"LA012894TR","LL.TUBO EN JGO.(1/4-3/8-1/2)199P""TR""","JGO"
"LA012954TR","CORTADOR VIDRIO 5"" 6CUCHILLAS","UN"
"LA012972TR","SEPARADOR PISO 2MM(200PZS)","PAQ"
"LA012973TR","SEPARADOR PISO 3MM(150PZS)","PAQ"
"LA012974TR","SEPARADOR PISO 5MM(100PZS)","PAQ"
"LA012984TR","LINTERNA LED RECARG.TRUPER 650lm","UN"
"LA012986TR","LINTERNA LED RECARG.TRUPER 1500lm","UN"
"LA013019TR","LINTERNA LED LUPA TRUPER","UN"
"LA013114TR","LIJADORA BANDA PROF.""TR""1010W","UN"
"LA013193TR","PROTECTOR OIDO PU S/CORDON""TR""","PAR"
"LA931529TR","CARBON P/TALADRO(24067)","UN"
"LA932752TR","BALIN P/TALADRO(15347)","UN"
"LA932753TR","BUJE P/TALADRO(15347)","UN"
"LA00012","CHALECO CORNETA","UN"
"LA000910","CALENTADOR INMERSION 220V 36CM","UN"
"LA000912","CALENTADOR INMERSION 220V 16CM","UN"
"LA001","EXIBIDOR ACEITEX","UN"
"LA001003","P.AEROSOL OPTIMA VERDE FLUOR 400ML","UN"
"LA001004","P.AEROSOL OPTIMA AZUL FLUOR 400ML","UN"
"LA001005","P.AEROSOL OPTIMA AMARILLO FLUOR 400ML","UN"
"LA001006","P.AEROSOL OPTIMA NARANJA FLUOR 400ML","UN"
"LA001270","RUEDA P/PORTON NYLON 2 1/2""-BRASIL","UN"
"LA001271","RUEDA P/PORTON NYLON 3""-BRASIL","UN"
"LA001272","RUEDA P/PORTON NYLON 4""-BRASIL","UN"
"LA0014020","RUEDA D`ZAINER GIRAT.C/PERNO RD50","UN"
"LA0016006004","MATERIAL BLOQUEADO","UN"
"LA0016006005","UÑERA ANTIGUO BRONCE BRASIL","UN"
"LA0016006223","UÑERA NIQUELADA BRASIL","UN"
"LA6302007","LLAVE COMBINADA FAMASTIL 12MM","UN"
"LA6302008","LLAVE COMBINADA FAMASTIL 13MM","UN"
"LA011540TR","CEP.ACERO ANTI CHISPA ""TR""","UN"
"LA011541TR","CEPILLO COPA TRENZ.F""TR""5/8x5","UN"
"LA011542TR","CEPILLO COPA TRENZ.G""TR""5/8x5""","UN"
"LA011543TR","CEPILLO COPA TRENZ.G""TR""M14x5""","UN"
"LA011544TR","CEPILLO COPA TRENZ.F""TR""M14x5""","UN"
"LA011556TR","CEPILLO ACERO RECT.TRUPER","UN"
"LA011559TR","CEPILLO ACERO TRUPER 4H","UN"
"LA011569TR","CEPILLO CIRC.P/TALADRO""TR""-2""","UN"
"LA011570TR","CEPILLO CIRC.P/TALADRO""TR""-3""","UN"
"LA011571TR","CEP.COPA OND.G.P/TALAD""TR""1-3/4""","UN"
"LA011572TR","CEP.COPA OND.G.P/TALAD""TR""2-3/4""","UN"
"LA011590TR","CEPILLO CIRC.P/TALADRO""TR""-4""","UN"
"LA011591TR","CEP.COPA OND.F.P/TALAD""TR""1-3/4""","UN"
"LA533.010","LLAVE FRANCESA FAMASTIL 10","UN"
"LADH9009800XD38","MANIJA BLINDEX MADERA 800X38MM","PAR"
"LADH9014/L1XD38","MANIJA BLINDEX 1200X38MM","PAR"
"LA012018312","ELECTRODO TUNGSTENIO ""CG""1,6mm","UN"
"LA012018512","ELECTRODO TUNGSTENIO ""CG""2,4mm","UN"
"LA01212-0","TIRADOR P/MUEBLE 65mm 6366/2CR","UN"
"LA012137912","MATERIAL BLOQUEADO","M"
"LA012142TR","CORTA HIERRO TRUPER 8""","UN"
"LA012145TR","CORTA HIERRO TRUPER 10""","UN"
"LA012148TR","CORTA HIERRO TRUPER 12""","UN"
"LA012172TR","CORTA HIERRO C/PROT.TRUPER 12""","UN"
"LA012173212","GUANTE LATEX AMARILLO (TAM:M)","UN"
"LA012173412","GUANTE LATEX AMARILLO (TAM:GG)","UN"
"LA012224TR","PUNTO CENTRO TRUPER 1/4""","UN"
"LA012259012","MATERIAL BLOQUEADO","JGO"
"LA012274112","MATERIAL BLOQUEADO","UN"
"LA533.015","LLAVE FRANCESA FAMASTIL 15","UN"
"LA535.001","CINTA MET.PROF.2MX16MM.FAMAST.","UN"
"LA535.030","CINTA MET.ROBUSTA 5MX25MM.FAM.","UN"
"LA012501TR","CINTA AISLAD.""TR""NEGRO 9M","UN"
"LA012502TR","CINTA AISLAD.""TR""VERDE 18M","UN"
"LA012503TR","CINTA AISLAD.""TR""AMARILLO 18M","UN"
"LA012504TR","CINTA AISLAD.""TR""ROJO 18M","UN"
"LA012505812","CINTA ANTIDESL.""CG""NEGRA 50MM/5M","UN"
"LA012505912","CINTA ANTIDESL.""CG""NEG/AMAR.50MM/5M","UN"
"LA012505TR","CINTA AISLAD.""TR""AZUL 18M","UN"
"LA012506012","CINTA ANTIDESL.""CG""TRANSP 50MM/5M","UN"
"LA012506TR","CINTA AISLAD.""TR""BLANCO 18M","UN"
"LA012507TR","CINTA AISLAD.""TR""GRIS 18M","UN"
"LA012541TR","CINTA DOBLE CARA""TR""19MMx5M","UN"
"LA012542TR","CINTA ANTIDESL.NEGRA""TR""25mm/5M","UN"
"LA1170033E","GRIFO""FIENZA""BL.LAV.PARED BAJO","UN"
"LA1170036","GRIFO""FIENZA""NEG.LAV.PARED BAJ","UN"
"LA1170046","KIT CONVERSOR ""FIENZA"" NEGRO","UN"
"LA00462004","ESPATULA M/PL.FAMASTIL 4CM","UN"
"LA00462006","ESPATULA M/PL.FAMASTIL 6CM","UN"
"LA00462008","ESPATULA M/PL.FAMASTIL 8CM","UN"
"LA00462010","ESPATULA M/PL.FAMASTIL 10CM","UN"
"LA005094","COLGANTE LUZ ALU.NARANJA(365LR)","UN"
"LA00515002","PULVERIZADOR FAMASTIL 2LTS","UN"
"LA00515006","PULVERIZADOR FAMSTIL 12LTS.","UN"
"LA00522006","LINTERNA FAMASTIL 3 PILAS","UN"
"LA005237","FASTIX BLANCO 25gr.","UN"
"LA005244","FASTIX NEGRO 25gr.","UN"
"LA005251","FASTIX TRANSPARENTE 25gr.","UN"
"LA00531010","TENAZA P/ALAMBRADA FAMASTIL 10""","UN"
"LA007055","BISAGRA PORTON SOLDABLE 4""/LOTH","UN"
"LA0091017","SIKAFLEX-1A BLANCO 300ML","UN"
"LA00950002","GANCHO P/ EXHIBIDOR FAMAST.","UN"
"LA00950004","GANCHO DOBLE P/EXHIBIDO FAMAST.","UN"
"LA1170100E","GRIFO ""BLANC"" COC.PARED ALTO","UN"
"LA01013-3","GANCHO P/PARED DOBLE 6398/5 NI-ALIANCA","UN"
"LA010149710","LIMPIADOR DE PICOS ""CG"" 13PZS","JGO"
"LA010197310","SOLDADOR PLOMERO""CARBOGRAF""3kg","UN"
"LA010197410","SOLDADOR PLOMERO""CARBOGRAF""13K","UN"
"LA010197510","SOLDADOR HOJAL.""CARBOGRAF""3kg","UN"
"LA010197610","SOLDADOR HOJAL.""CARBOGRAF""13K","UN"
"LA010198410","SOLD.P/MEMBRANA""CARBOGRAF""13K","UN"
"LA0102","ANTICORROSIVO 400cc ACEITODO","UN"
"LA010229610","PORTAELECTRODO CARBOGRAF.300A","UN"
"LA010229710","PORTAELECTRODO CARBOGRAF.400A","UN"
"LA010229810","PORTAELECTRODO CARBOGRAF.500A","UN"
"LA530.024","LLAVE PARA CANO FAMASTIL 24","UN"
"LA533.006","LLAVE FRANCESA FAMASTIL 6","UN"
"LA533.008","LLAVE FRANCESA FAMASTIL 8","UN"
"LA010321TR","IRRIGADOR MET.SECTOR EST.""TR""","UN"
"LA010329TR","IRRIG.GIRAT.METAL C/ASPAS TRUPER","UN"
"LA010335TR","ESCALERA ALU.TIJERA""TR""5ESC.","UN"
"LA010337TR","ESCALERA ALU.TIJERA""TR""7ESC.","UN"
"LA010338TR","ESCALERA ALU.TIJERA""TR""8ESC.","UN"
"LA010339TR","IRRIGADOR PLAS.SECTOR EST.""TR""","UN"
"LA010370TR","CASCO SEGURIDAD TRUPER BLANCO","UN"
"LA010371TR","CASCO SEGURIDAD TRUPER AZUL","UN"
"LA010373TR","CASCO SEGURIDAD TRUPER ROJO","UN"
"LA010374TR","CASCO SEGURIDAD TRUPER VERDE","UN"
"LA010380TR","CAJA HERR.TRUPER NEGRA 20""","UN"
"LA010387TR","SOPORTE P/MANGUERA ""TR"" NARANJA","UN"
"LA010400TR","MULTIMETRO DIGITAL(MUT-830)""TR""","UN"
"LA535.040","CINTA MET.ROBUSTA 8MX25MM.FAM.","UN"
"LA536.001","CINTA METRICA 2MX12,5MM.FAMAS.","UN"
"LA010440TR","CARRETILLA INFANTIL TRUPER","UN"
"LA010453710","REGULADOR ARGON ""CG"" S700","UN"
"LA010453810","REGULADOR CO2 ""CG"" S700","UN"
"LA010453910","REGULADOR NITROGENO ""CG"" S700","UN"
"LA010454110","REGULADOR GLP13KG ""CG"" S700","UN"
"LA010454210","REGULADOR GLP45KG ""CG"" S700","UN"
"LA010495TR","ESCALERA ALU.TIJ.DOBLE""TR""4ESC.","UN"
"LA010496TR","ESCALERA ALU.TIJ.DOBLE""TR""5ESC.","UN"
"LA010497TR","ESCALERA ALU.TIJ.DOBLE""TR""6ESC.","UN"
"LA010498TR","ESCALERA ALU.TIJ.DOBLE""TR""7ESC.","UN"
"LA01051","SISAL P/LIMPIEZA 100GR.","UN"
"LA010514610","VALV.CORTA LLAMA ""CG"" VPMG-AV","UN"
"LA537.003","CINTA METRICA LARGA 30M FAMAST","UN"
"LA537.004","CINTA METRICA LARGA 50M FAMAST","UN"
"LA537.005","CINTA MET.AGRIMENSOR 30M.FAMAS","UN"
"LA5980600","MASILLA P/VIDRIOS ARG. (1KG)","PAQ"
"LA5980602","CANAMO 200 grs","PAQ"
"LA5980604","TORNILLO P/WATER BRONCE (25PZS)-ARG.","PAQ"
"LA5980606","MATERIAL BLOQUEADO","CJ"
"LA5980608","CERR.LLAVE PALETA CR.REF.2004N","UN"
"LA5980610","CERR.LLAVE PALETA BR.REF.2004Z","UN"
"LA5980612","CERR.PICO LORO PALETA BR.R652Z","UN"
"LA5980614","CERR.P/MUEBLE BR.REF:20-Z","UN"
"LA5980616","CONEXION P/INODORO PVC""TRAFUL""","UN"
"LA5980620","CANILLA P/LAVARROP.BL.1/2(ARG)","UN"
"LA5980621","CANILLA P/PILETA BL.1/2""(ARG)","UN"
"LA5980622","CANILLA P/PILETA BL.3/4""(ARG)","UN"
"LA5980630","SELLA ROSCA P/CANO PL.65cc(ARG)","UN"
"LA61508","PINCEL P/LETRA ROMA 8","UN"
"LA61510","PINCEL P/LETRA ROMA 10","UN"
"LA61512","PINCEL P/LETRA ROMA 12","UN"
"LA61514","PINCEL P/LETRA ROMA 14","UN"
"LA6022403","CANDADO ""OPTIMA"" REF. 25mm","UN"
"LA6022404","CANDADO ""OPTIMA"" REF. 30mm","UN"
"LA6022406","CANDADO ""OPTIMA"" REF. 40mm","UN"
"LA6022407","CANDADO ""OPTIMA"" REF. 45mm","UN"
"LA6022408","CANDADO ""OPTIMA"" REF. 50mm","UN"
"LA6022411","CANDADO ""OPTIMA"" REF. 60mm","UN"
"LA6022412","CANDADO ""OPTIMA"" REF. 65mm","UN"
"LA6023460","CAND.HIERRO BRON.TITANIUM 25MM","UN"
"LA6023462","CAND.HIERRO BRON.TITANIUM 32MM","UN"
"LA6023464","CAND.HIERRO BRON.TITANIUM 38MM","UN"
"LA6023466","CAND.HIERRO BRON.TITANIUM 50MM","UN"
"LA6302009","LLAVE COMBINADA FAMASTIL 14MM","UN"
"LA6302010","LLAVE COMBINADA FAMASTIL 15MM","UN"
"LA6302011","LLAVE COMBINADA FAMASTIL 16MM","UN"
"LA6080408","FICHA REVERSIBLE 120x68x2MM/3A-CHINO","PAR"
"LA6080410","FICHA REVERSIBLE 120x87x2MM/5A-CHINO","PAR"
"LA60815000","PINCEL P/LETRA TIGRE 815-0","UN"
"LA60815002","PINCEL P/LETRA TIGRE 815-2","UN"
"LA60815004","PINCEL P/LETRA TIGRE 815-4","UN"
"LA60815006","PINCEL P/LETRA TIGRE 815-6","UN"
"LA60815008","PINCEL P/LETRA TIGRE 815-8","UN"
"LA60815010","PINCEL P/LETRA TIGRE 815-10","UN"
"LA60815012","PINCEL P/LETRA TIGRE 815-12","UN"
"LA60815014","PINCEL P/LETRA TIGRE 815-14","UN"
"LA60815016","PINCEL P/LETRA TIGRE 815-16","UN"
"LA6302019","LLAVE COMBINADA FAMASTIL 26MM","UN"
"LA6302020","LLAVE COMBINADA FAMASTIL 27MM","UN"
"LA6302021","LLAVE COMBINADA FAMASTIL 30MM","UN"
"LA6109469","LLAVE PIPA LARGO(254X75MM)19MM-CHINO","UN"
"LA6109802","PROLONGADOR CORTO 1/2"" 5""","UN"
"LA6109804","PROLONGADOR LARGO 1/2"" 10""","UN"
"LA6109806","MANIJA T DESLIZANTE 1/2""-CHINO","UN"
"LA6109808","JUNTA UNIVERSAL CHINO 1/2""","UN"
"LA6109810","LL.ALLEN NEG.EN JGO.1,5-10/11P-CHINO","JGO"
"LA6109811","LL.ALLEN NIQ.EN JGO.1,5-10/11P-CHINO","JGO"
"LA6109888","LL.ALLEN NEG.EN JGO.1,3-10/25P-CHINO","JGO"
"LA6109889","LL.ALLEN NIQ.EN JGO.1,3-10/25P-CHINO","JGO"
"LA6110402","MAZO S/CABO CHINO 2 LBS","UN"
"LA6110403","MAZO S/CABO CHINO 3 LBS","UN"
"LA6110404","MAZO S/CABO CHINO 4 LBS","UN"
"LA6948155","ESTANO BARRA BEST 50X50(85gr.)","UN"
"LA9100176","CISTERNA C9 ROSADO RS2","UN"
"LA91019982","ALICATE INT. CURVO FAMASTIL 6","UN"
"LA91020980","ALICATE EXT. RECTO FAMASTIL 7","UN"
"LA460014","ESCUADRA FAMASTIL NRO.14 M/METAL","UN"
"LA463.004","ESPATULA FAMASTIL M/MADERA 4cm","UN"
"LA463.006","ESPATULA FAMASTIL M/MADERA 6cm","UN"
"LA463.008","ESPATULA FAMASTIL M/MADERA 8cm","UN"
"LA463.010","ESPATULA FAMASTIL M/MAD. 10cm","UN"
"LA463.012","ESPATULA FAMASTIL M/MAD. 12cm","UN"
"LA468002","ESCOBA PL. GRANDE FAMASTIL 26 DIENTES","UN"
"LA470.010","TIJERA P/PASTO FAMASTIL 470-10","UN"
"LA470.012","TIJERA P/PASTO FAMASTIL 470-12","UN"
"LA476002","ESCOBA JARDIN FAM.PL.S/M.476","UN"
"LA477.001","LLANA METAL LISA FAMAS 26X12CM","UN"
"LA478001","LLANA METAL DENT.FAMA 25X12CM","UN"
"LA480.040","MAZO DE GOMA FAMASTIL 40MM","UN"
"LA480.060","MAZO DE GOMA FAMASTIL 60MM","UN"
"LA490001","METRO PLASTICO FAMASTIL 1M","UN"
"LA490002","METRO PLASTICO FAMASTIL 2M","UN"
"LA4X3X2.5MM/SBL","BISAGRA OPTIMA FLORENTINO 4""","PAR"
"LA480.080","MAZO DE GOMA FAMASTIL 80MM","UN"
"LA4800","BROCHA MAX #48 BLANCA 190x76mm","UN"
"LA4864","BOMBA RAYMA 800LA/220V-50HZ","UN"
"LA4867","BOMBA RAYMA 900LA/220V-50HZ","UN"
"LA494-20N","ESCALERA ALU.EXTENSIVA 20P-CUPRUM","UN"
"LA494-24N","ESCALERA ALU.EXTENSIVA 24P-CUPRUM","UN"
"LA494-28N","ESCALERA ALU.EXTENSIVA 28P-CUPRUM","UN"
"LA494-32N","ESCALERA ALU.EXTENSIVA 32P-CUPRUM","UN"
"LA4V-BATTERY","BATERIA REPUESTO BALANZAS","UN"
"LA4X3X2.5MM/AB","BISAGRA OPTIMA BRONCE ANTIG.4""","PAR"
"LA4X3X2.5MM/BP","BISAGRA OPTIMA BRONCE 4""","PAR"
"LA4X3X2.5MM/CP","BISAGRA OPTIMA CROMADO 4""","PAR"
"LA4X3X2.5MM/SC","BISAGRA OPTIMA SATINADO 4""","PAR"
"LA50020","DUCHA GORDUCHA 3T 220V/5400W","UN"
"LA501-2D","PALA METISA EXCAVADORA SEN.48""","UN"
"LA5010PS","CINTA ASF.MEGAFLEX 50CMX10MTS","UN"
"LA506","REMACHE POP 4,8X6-3/16X1/4""","UN"
"LA5062","BOQUILLA P/ENGRASAD.HIDROMAR","UN"
"LA508","REMACHE POP 4,8X8-3/16X5/16""","UN"
"LA51","TIRADOR BIGORNA CHICO ORO","UN"
"LA510","REMACHE POP 4,8X10-3/16X3/8""","UN"
"LA5100","BROCHA MAX #51 BLANCA 165x58mm","UN"
"LA51060","NIVEL ALUMINIO NARANJA MAX 10""","UN"
"LA512","REMACHE POP 4,8X12-3/16X1/2""","UN"
"LA514.001","CARRETILLA FAMASTIL R/GOMA","UN"
"LA5205FOXLUX","FOTOCELULA BIVOLT","UN"
"LA5207FOXLUX","BASE PARA FOTOCELULA","UN"
"LA529A1","UNION M/H TUPY 1""","UN"
"LA51260","NIVEL ALUMINIO NARANJA MAX 12""","UN"
"LA514","REMACHE POP 4,8X14-3/16X9/16""","UN"
"LA51460","NIVEL ALUMINIO NARANJA MAX 14""","UN"
"LA5147","MANGUERA P/ ENGRASADOR 1,3MTS.","UN"
"LA516","REMACHE POP 4,8X16-3/16X5/8""","UN"
"LA51660","NIVEL ALUMINIO MAX 16","UN"
"LA5167","LIMPIA CONTACTO 440CC ACEITEX","UN"
"LA518","VEDAPREN EMULSION ASFALT. 18KG","UN"
"LA51860","NIVEL ALUMINIO NARANJA MAX 18""","UN"
"LA519","REMACHE POP 4,8X20-3/16X3/4""","UN"
"LA52","TIRADOR BIGORNA GRANDE CROMADO","UN"
"LA52005","ANTICORROSIVO WD-40 155GR.","UN"
"LA52011","ANTICORROSIVO WD-40 311GR.","UN"
"LA52060","NIVEL ALUMINIO NARANJA MAX 20""","UN"
"LA522","REMACHE POP 4,8X22-3/16X7/8""","UN"
"LA52460","NIVEL ALUMINIO NARANJA MAX 24""","UN"
"LA525","REMACHE POP 4,8X25-3/16X1""","UN"
"LA52809","PEGA Y SUELDA MEMBRANA 850cc","UN"
"LA52810","PEGA Y SUELDA MEMBRANA 3,6lts","UN"
"LA52842093","DISCO MULTICORTE(1,0MM)BNA4,5","UN"
"LA529A1/2","UNION M/H TUPY 1/2""","UN"
"LA529A3/4","UNION M/H TUPY 3/4""","UN"
"LA530","REMACHE POP 4,8X30-3/16X13/16""","UN"
"LA530E","LLANA PL. ESPUMA ROMA 22X15CM","UN"
"LA530S","LLANA PL. FRISADO ROMA 22X12CM","UN"
"LA5400","BROCHA MAX #54 BLANCA 123x45mm","UN"
"LA5454","MANGUERA P/ ENGRASADOR 3MTS.","UN"
"LA5500","BROCHA MAX #55 NEGRA 123x45mm","UN"
"LA550386","EXHIBIDOR PLASTICO NICHOLSON","UN"
"LA550E","LLANA PL. ESPUMA ROMA 27X14CM","UN"
"LA550S","LLANA PL. FRISADO ROMA 27X14CM","UN"
"LA5539544799","CINTA SEPARADORA NORTON 12MMX50M","UN"
"LA5657B","GUANTE PERSONAYLON BLANCO","PAR"
"LA5657N","GUANTE PERSONAYLON NEGRO","PAR"
"LA5658","GUANTE ELECTRISISTA AZUL","PAR"
"LA578-16N","ESCALERA F.VIDRIO EXT.16PEL.","UN"
"LA578-20N","ESCALERA F.VIDRIO EXT.20PEL.","UN"
"LA578-24N","ESCALERA F.VIDRIO EXT.24PEL.","UN"
"LA578-28N","ESCALERA F.VIDRIO EXT.28PEL.","UN"
"LA5X3X2.5MM/BP","BISAGRA OPTIMA BRONCE 5""","PAR"
"LA5X3X2.5MM/SBL","BISAGRA OPTIMA FLORENTINO 5""","PAR"
"LA578-32N","ESCALERA F.VIDRIO EXT.32PEL.","UN"
"LA578-36N","ESCALERA F.VIDRIO EXT.36PEL.","UN"
"LA578-40N","ESCALERA F.VIDRIO EXT.40PEL.","UN"
"LA5962402","PINCEL ETERNA 633-3/4""","UN"
"LA5962403","PINCEL ETERNA 633-1""","UN"
"LA5962404","PINCEL ETERNA 633-1 1/2""","UN"
"LA5962406","PINCEL ETERNA 633-2 1/2""","UN"
"LA5962407","PINCEL ETERNA 633-3""","UN"
"LA5962409","PINCEL ETERNA 633-4""","UN"
"LA5972401","PINCEL DRAGON 606-1/2""-CHINO","UN"
"LA5972402","PINCEL DRAGON 606-3/4""-CHINO","UN"
"LA5972403","PINCEL DRAGON 606-1""-CHINO","UN"
"LA5972404","PINCEL DRAGON 606-1 1/2""-CHINO","UN"
"LA5972405","PINCEL DRAGON 606-2""-CHINO","UN"
"LA5972406","PINCEL DRAGON 606-2 1/2""-CHINO","UN"
"LA5972407","PINCEL DRAGON 606-3""-CHINO","UN"
"LA5972409","PINCEL DRAGON 606-4""-CHINO","UN"
"LA5980104","HILO ENCERADO CRUDO N°4/1300m","UN"
"LA5980106","HILO ENCERADO CRUDO N5/900m","UN"
"LA5980107","HILO ENCERADO CRUDO N°7/600m","UN"
"LA5980108","HILO ENCERADO CRUDO N°8/450m","UN"
"LA5980124","HILO ENCERADO NEGRO N4/1300m","UN"
"LA5980126","HILO ENCERADO NEGRO N°5/900m","UN"
"LA5980127","HILO ENCERADO NEGRO N°7/600m","UN"
"LA5980128","HILO ENCERADO NEGRO N8/450m","UN"
"LA5980631","SELLA ROSCA P/CANO PL.125cc(ARG)","UN"
"LA5980632","CORTINA P/BANO 1,80mts (ARG)","UN"
"LA5980701","MATERIAL BLOQUEADO","UN"
"LA5980702","MATERIAL BLOQUEADO","UN"
"LA5980710","VASTAGO CORTO ARGENTINO","UN"
"LA5980712","VASTAGO LARGO ARGENTINO","UN"
"LA5980810","GRAMPA COBREADA P/MUEBLE#9(ARG)","KG"
"LA5980905","RODILLO FORRADO 5 CM-ARG.","UN"
"LA5980908","RODILLO FORRADO 8 CM-ARG.","UN"
"LA5980910","RODILLO FORRADO 10 CM-ARG.","UN"
"LA5980918","RODILLO FORRADO 18 CM-ARG.","UN"
"LA5980923","RODILLO FORRADO 23 CM-ARG.","UN"
"LA6302002","LLAVE COMBINADA FAMASTIL 7MM","UN"
"LA6302012","LLAVE COMBINADA FAMASTIL 17MM","UN"
"LA6302022","LLAVE COMBINADA FAMASTIL 32MM","UN"
"LA5X3X2.5MM/AB","BISAGRA OPTIMA BRONCE ANTIG.5""","PAR"
"LA5X3X2.5MM/CP","BISAGRA OPTIMA CROMADO 5""","PAR"
"LA5X3X2.5MM/SC","BISAGRA OPTIMA SATINADO 5""","PAR"
"LA60000059","PROT.OIDO TIPO PLUG COPO.BRASIL","UN"
"LA60000105","LENTE PROT.TRANSPARENTE BRASIL","UN"
"LA600002","ESCOBA FAM.FIJA PLANA 200-22D","UN"
"LA6000400","BISAGRA REF. CHINA 2""","DP"
"LA6000401","BISAGRA REF. CHINA 1 1/2""","DP"
"LA6000402","BISAGRA REF. CHINA 2 1/2""","DP"
"LA6000404","BISAGRA REF. CHINA 3""","DP"
"LA6000406","BISAGRA REF. CHINA 3 1/2""","DP"
"LA6000408","BISAGRA REF. CHINA 4""","DP"
"LA77354/075","MATERIAL BLOQUEADO","UN"
"LA913-0011","DIFUSOR P/ PURIFICADOR. AS1/AS2","UN"
"LA931534TR","CAMPO P/TALADRO(24067)","UN"
"LADH7008800XD38","MATERIAL BLOQUEADO","PAR"
"LA6000410","BISAGRA REF. CHINA 5""","DP"
"LA6001400","BISAGRA SEN. CHINO 1""","DP"
"LA6001402","BISAGRA SEN. CHINO 1 1/2""","DP"
"LA6001404","BISAGRA SEN. CHINO 2""","DP"
"LA6001406","BISAGRA SEN. CHINO 2 1/2""","DP"
"LA6001408","BISAGRA SEN. CHINO 3""","DP"
"LA6002106","BISAGRA VERDE 180mmx100mm #1","PAR"
"LA6002108","BISAGRA VERDE 210mmx100mm #2","PAR"
"LA6002110","BISAGRA VERDE 255mmx100mm #3","PAR"
"LA6002112","BISAGRA VERDE 290mmx100mm #4","PAR"
"LA6002152","BISAGRA PORTON PESAD.No 4 L.","PAR"
"LADISPLAYBADSOQ","EXHIBIDOR LLAVE TUBO CHICO","UN"
"LAEZC24D50D/R06","PASADOR DEL PISTON EZC24D-50D","UN"
"LAEZLB1500","BATERIA 18V.LI-ION 1500mAhEZ","UN"
"LAEZWL-220L/R09","IGBT EZW190L-220L","UN"
"LA6002154","BISAGRA PORTON PESAD.No 4 REF.","PAR"
